fen,evaluation
rnb3r1/p1pnkp1p/1p1pp2b/1PP3p1/8/1QN2P2/P2PP1P1/R1B1KBNR,866
rn2kb1r/pb1qppp1/2p2n1p/3p4/2QPP3/2P3B1/PP1N1PPP/R3KBNR,-426
rnbqkbnr/2p1pppp/8/pp1p4/P7/R6P/1PPPPPP1/1NBQKBNR,73
rnbqk1nr/ppppbp1p/8/6p1/1P3pP1/P7/2PPP2P/RNBQKBNR,-192
rnbqkb1r/pp1pp1pp/2p2p1n/8/P1P5/3Q4/1P1PPPPP/RNB1KBNR,-131
rnbqkbnr/ppppp1pp/8/5p2/8/1P1PP3/P1P2PPP/RNBQKBNR,46
rnbqkbnr/1p1pp1pp/p4p2/2p5/Q7/2P2N1P/PP1PPPP1/RNB1KB1R,20
rnbqkbnr/p1p2pp1/1p1pp2p/8/8/P2PP2P/1PPK1PP1/RNBQ1BNR,-49
1rbqkbnr/ppppp2p/2n3p1/5p2/PPN5/8/2PPPPPP/R1BQKBNR,59
rn1qk1r1/pp1b1ppp/3b4/2ppp2n/PPP5/B4PPP/3PP3/RN1QKBNR,-226
r1bqkbnr/p1pppp1p/np6/6p1/7P/P1N4R/1PPPPPP1/R1BQKBN1,130
rnbqk2r/pp1ppp1p/2p2n1b/6p1/P6P/2P2PP1/1P1PP3/RNBQKBNR,-167
rnbqkbnr/p2ppppp/8/1pp5/8/P1N2P2/1PPPP1PP/R1BQKBNR,-51
r1bqkbnr/1pp2ppp/2npp3/6P1/1p1P1P2/8/PPP1P2P/RN1QKBNR,-696
r1bqkbnr/p2ppppp/2n5/1p6/2pP1P2/3Q4/PPP1PKPP/RNB2BNR,-186
rnbqkb1r/p2pppp1/1p5p/2p5/P7/5PP1/1PPP1n1P/RNBQKBNR,267
rnbqk1nr/pppp1ppp/4p3/P7/1b1P4/7P/1PPNPPP1/R1BQKBNR,83
r1q1kbnr/pb1npp1p/1p1p2p1/1Pp5/3P4/2P2NP1/P2NPP1P/R1BQKB1R,-62
rnb1k2r/p2q1p1p/1pp1pn1b/3pP1p1/8/3B2PP/PPPP1P1R/RNBQK1N1,367
rnbqkbnr/2ppp1p1/5p2/pp6/1P4Pp/2N2P2/P1PPP1BP/R1BQK1NR,-190
r1bqk3/pppp1pbr/B4n1p/n5p1/P2p4/N3PP2/1PPP2PP/R1B1K1NR,-736
1nbq2nr/r1pk1ppp/1p6/p2pp3/7P/RP6/2PPPPPN/1NBQKB1R,457
r1bqkb1r/p1ppp2p/1pn4n/5pp1/2PPP1P1/8/PP3P1P/RNBQKBNR,243
r2qkbnr/2p1pp1p/p1n5/3p2pQ/8/2P1P2b/PP1PKPPP/RNB3NR,-35
rnbqkbnr/1pppp1pp/p4p2/8/PP6/B7/2PPPPPP/RN1QKBNR,2
r1b1k1nr/pp1pbp1p/1q1P4/2p5/1nP1p1p1/1P4PP/PB1KPP2/RN1Q1BNR,324
r1bqkb1r/p1pppppp/5n2/1p2n3/P5P1/3P3P/1PP1PP1R/RNBQKBN1,53
r1bqkb1r/pp2p2p/n1pp3n/5pp1/3N2P1/P1P5/1P1PPPBP/RNBQK2R,55
r1bqkb1r/pp3ppp/n1ppp3/3n4/4P3/1PNP2P1/P1PK1P1P/1RBQ1BNR,-150
r3k1nr/pp1bppb1/n2p3p/2p5/q1P4p/N3PNP1/PP1PKPB1/R1BQ3R,57
rnb1k1nr/1ppq1ppp/B3p3/p1bpP3/8/N7/PPPPKPPP/R1BQ2NR,-626
rnbqk1nr/ppp1ppbp/6p1/3p4/1P1P4/2P5/P3PPPP/RNBQKBNR,-25
1rb1kb1r/ppppqppp/n7/1N2p2n/P7/1P3N2/1BPPPPPP/R1Q1KB1R,47
rnbqkbnr/pppp2p1/5p1p/4p3/8/P6N/1PPPPPPP/RNBQKB1R,99
r1bqkb1r/pppppppp/7n/4n3/2P5/7N/PPQPPPPP/RNB1KB1R,-16
r1bq1bnr/1ppk1p2/p2p4/3Bp1pp/P2P1P2/1nP1P1PP/1P6/RNBQK1NR,449
rnb1kbnr/pp1p1ppp/2p5/4p3/3q4/P4PP1/1PPPP2P/RNBQKBNR,-72
rnbkqbnr/pppp1p1p/6p1/8/4p1P1/2P1PN2/PPNPKPBP/R1BQ3R,-362
r1bqkbnr/p1pp1ppp/n7/1p2p3/1PP5/4P3/P2PKPPP/RNBQ1BNR,-207
1rbqk1nr/1pppp2p/p4p1b/1N4p1/3P1PP1/6K1/PPn1P2P/R1BQ1BNR,-442
rnb1kbnr/1pppq2p/5p2/p3p1N1/PP2N3/8/2PPPPPP/R1BQKB1R,-310
r1bqkb1r/ppppp2p/2n4n/6p1/2PP4/P1N2p1P/1P2PPP1/R1BQKBNR,218
r1bqkbn1/ppppp3/5pp1/n6r/QP6/4P3/P1PP1PPP/RNB1KBNR,273
r1b1kbnr/pp1p1ppp/5q2/2p5/1nP1p3/P3PP1P/RP1P2P1/1NBQKBNR,201
rnbqkb1r/pp2p2p/5npB/3p1p2/2p1P3/3P3Q/PPP1KPPP/RN3BNR,-531
1rb1kbnr/ppq1p2p/2n1Np2/2pp4/3PP2P/BPP2P2/P5P1/RN1QKB1R,-341
rnbqkbnr/1pppppp1/p7/7p/P7/5NP1/1PPPPP1P/RNBQKB1R,23
rn2kbnr/pp2qp2/2p1p3/1b1p2pp/P3P3/2PQ3P/RP1PKPPR/1NB2BN1,340
rnbqk1nr/1ppp1ppp/p3p3/4bQ2/4P3/1P6/P1PP1PPP/RNB1KBNR,-751
rnbqk1nr/1pppp3/p6b/5ppp/P1P4P/7R/1P1PPPP1/RNBQKBN1,140
rnbq1br1/pp2p1pn/3p1pkp/2p5/5PPP/1QPK3R/PP1PP3/RNB2BN1,-61
rnbqkbnr/pppp4/4p1pp/5p2/P5P1/7N/1PPPPP1P/RNBQKB1R,51
rnbqkbnr/p1pppp1p/1p4p1/8/6P1/PPP4P/3PPP2/RNBQKBNR,-108
r2qkbnr/pp2pppp/2npb3/2p5/3P4/6PN/PPPBPP1P/RN1QKB1R,40
r1bqkb1r/2pppppp/pp5n/n2Q4/8/2P1P3/PP1P1PPP/RNB1KBNR,-89
rnbqkb1r/3pp1pp/7n/ppp1Pp2/2P5/N2P4/PP2KPPP/R1BQ1BNR,-41
rnbqkbnr/pp1p1pp1/7p/2p1p3/2P2P2/8/PPQPP1PP/RNB1KBNR,-129
r1bq1knr/pppp1pbp/n7/4p1p1/2P1PN2/N2P3P/PP3PP1/R1BQKB1R,-441
r1bqkb1r/1ppppp1p/p5pn/4n3/1P4P1/3PPN2/P1P2P1P/RNBQKB1R,318
rnbqk1nr/pppp1pp1/4p2p/2b5/P7/2N1P3/1PPP1PPP/R1BQKBNR,32
rnb1kbnr/1ppqp1pp/3p4/p4P2/1P6/3P4/PBP2PPP/RN1QKBNR,-29
r1bqkb1r/ppp1pppp/2np1n2/8/1P6/2N3P1/P1PPPPBP/R1BQK1NR,-88
rnbqkbnr/pppp1ppp/4p3/8/2B1P3/2N5/PPPP1PPP/R1BQK1NR,154
rn1qkb1r/p1p1pp1p/1p3np1/3p1b2/6PP/2P5/PP1PPP2/RNB1KBNR,-590
r1bqkbnr/1ppppppp/p7/n7/8/P2P3N/1PP1PPPP/RNBQKB1R,19
rn2kb1r/pp1bp1p1/3p3n/Q1p2p1p/Pq3P2/2PP3P/1P2P1P1/RNB1KBNR,566
r1bqkbnr/2pppppp/1pn4B/p7/1P6/3P2P1/P1P1PP1P/RN1QKBNR,-564
r1b1kbnr/1ppn1ppp/p4q2/3p4/1P1p2P1/N2Q3P/P1P1PP2/R1B1KBNR,-172
rnbq1bnr/pppppkpp/8/5p2/5P2/6PB/PPPPP2P/RNBQK1NR,38
r1bqkbnr/pppppp1p/n5p1/8/1P6/P1P2N2/1B1PPPPP/RN1QKB1R,49
r1bqkbnr/p1p2pp1/1pn1p3/3pP2p/6QP/2P5/PP1P1PP1/RNB1KBNR,-26
2bqkb1r/1pppppp1/1r6/3n3p/3n2P1/1pNNP3/PBPP1PBP/R2QK2R,303
rnbqkbnr/2ppppp1/8/pp5p/1P5P/5PPR/P1PPP3/RNBQKBN1,-272
r1bqkbnr/pnpppppp/8/1p6/PP1P4/2P5/1B2PPPP/RN1QKBNR,172
rnbqkbnr/p1ppp1pp/1p6/5p2/1PP5/N7/P2PPPPP/R1BQKBNR,2
r1bqkb1r/1pp1p1pp/p2p4/B2P1p2/6nP/4PN2/PPP2PP1/RN1QKBR1,445
r1bqk1nr/p1pp1p1p/n3p3/1p2bPp1/8/1PP3PN/P2PP2P/RNBQKBR1,27
rnbq1bnr/pp1pkNpp/8/2p1p3/8/5P2/PPPPP1PP/RNBQKB1R,654
rnbqkbnr/p1p1pp2/1p4pp/3p4/8/P1P2PP1/RP1PPK1P/1NBQ1BNR,-118
rnbqkb1r/1ppppppp/8/p7/P3n3/1P2PP2/2PP2PP/RNBQKBNR,27
rnbqkb1r/2pp2p1/1p2pn1p/3N4/pP3BP1/3P3P/P1P1PP2/RN1QKB1R,346
r1bqkb1r/ppp1pp1p/n2p3n/P5p1/8/5P1N/1PPPP1PP/RNBQKB1R,137
r3kbnr/ppnbpp1p/8/2p3p1/P1Pp1P2/1P2P2N/2QP2PP/R1B1KB1R,567
rnbqkbnr/1pppp1p1/5p2/p6p/P4P2/N1P5/1PQPP1PP/R1B1KBNR,116
rn1q1b1r/p1pppkp1/b7/7p/4PPn1/8/PP1P2PP/RNBQK1NR,-303
r1bqkbnr/3p1p1p/1pn5/p1p1p1p1/1P1P4/5PP1/P1PNPN1P/R1BQKB1R,-203
1nb1kbnr/rp1ppp1p/6p1/p1p5/2N1P1P1/7P/PPP1NPB1/R1BQK2R,825
r1bqkbnr/1pp1p1p1/p4p2/3p3p/N2n4/1P3P1N/P1PPP1PP/R1BQKB1R,-191
r1bqkb1r/1p1pp1pp/5p2/p1p4n/1n1PP3/P1P3PP/1P1B1P2/RN1QKBNR,418
r1bqkb1r/pppppppp/2n2n2/8/8/2NBP3/PPPP1PPP/R1BQK1NR,-63
r2qkbnr/p3pppp/n1pp4/1p3b2/3PP2P/5P1N/PPP3PR/RNBQKB2,87
rn1qkbnr/p1p1pp2/6p1/1p1p3p/1P6/P1P2N2/1B1PPPbP/RNQ1KB1R,-449
rnbqkbnr/pppp1pp1/8/4p2p/3PP3/8/PPP2PPP/RNBQKBNR,25
r1b1kN1r/ppp1qppp/2n4n/3pp3/P7/2P5/1P1PPPPP/RNBQKBR1,-60
rnb1kbnr/pp1ppp2/2p5/q5pp/1PP4P/3P4/4PPP1/RNBQKBNR,-360
r1bqkb1r/p2p1p1p/npp1p1p1/6P1/2P4P/1PN4N/PB1PPP2/R2QKB1R,676
1nbqk1nr/1pppp1bp/5rp1/p4p2/2PP2P1/P7/1P2PP1P/RNBQKBNR,65
r1bq1bnr/ppppk3/n3pp2/6pp/1PP5/3PBP2/P3PKPP/R2QNBNR,-104
r1bqkbnr/3pp1p1/npp5/p4p1p/2P1N3/1P1PP3/P4PPP/R1BQKBNR,140
r1bqkb1r/pppppp1p/2n3pn/8/6P1/4PQ2/PPPP1P1P/RNB1KBNR,-47
rnbqkb1r/p2ppp1p/1p5n/2p3p1/2P5/3P1P1P/PP2P1PR/RNBQKBN1,-200
r1bqkbnr/2p1pppp/2np4/pp6/4PPP1/8/PPPPN2P/RNBQKB1R,-147
rnbqkbnr/1pp1pppp/8/p2p4/1P6/2P4N/P2PPPPP/RNBQKB1R,-190
rnbqkbnr/pp1ppp1p/2p3p1/8/8/4PP2/PPPP1NPP/RNBQKB1R,39
2bqkbn1/rp1pppp1/2p4r/P1n4p/8/N2P2P1/P1PKPP1P/R1B1QBNR,-61
rnb2bnr/pp2pkpp/5p2/2Np4/qPP5/8/P2PPPPP/RNBQKB1R,750
rnbqkb1r/1p2pppp/3p4/p1p5/3Pn3/1PN4N/P1PQPPPP/R1B1KB1R,400
1nbqkb1r/1pp1p1pp/3p3n/pr3p2/4P3/BPP1Q1PN/P2P1P1P/RN2K1R1,-495
rnbq1b1r/pp1pkp1p/4p1pn/1Np5/1P6/5P2/PBPPP1PP/R2QKBNR,470
r1bqk1nr/pppp1ppp/n7/2b5/3p4/2N5/PPPPPPPP/R1BQKBR1,-558
1nb1kb1r/1pp2ppp/r3p2n/p2p4/3PQ1Pq/2P4P/PP1BPP2/RN2KBNR,-741
rnbqkbn1/p1ppppp1/1p5r/7Q/2N5/4P3/PPPP1PPP/R1B1KBNR,-598
r1bqkbnr/ppp2ppp/3pp3/8/2P5/N2P1N1P/PP1P1PP1/R1BQKB1R,558
rnbqkbnr/1ppp1p2/8/p3p1pp/4P3/3P4/PPP2PPP/RNBQKBNR,27
rnbqkbnr/ppp1pp1p/3p2p1/8/2N5/7P/PPPPPPP1/R1BQKBNR,-82
r2qkbnr/pp1Npp1p/n1pp4/6p1/5P2/BPP4P/P1QPP2P/RN2KBR1,139
rn2kb1r/ppq1pppp/2ppb2n/8/3P4/N4N1P/PPP1PPP1/1RBQKB1R,123
rnbqk1nr/1ppp1ppp/8/p1b1p3/1P5P/N4N2/P1PPPPP1/R1BQKB1R,509
rn2k1nr/ppq2p2/2p1b1p1/3pp3/P1P2P2/b1NPP2p/1P3QPP/R1B1KBNR,425
rnbqk2r/p1pppp1p/6pb/1pP5/P3Q3/5Pn1/1P1PP2P/RNB1KBNR,395
r1bqkbnr/1ppppppp/8/p3n3/1PP5/3P4/P3PPPP/RNBQKBNR,68
1nbqkbnr/4pp1p/rpp3p1/p2pP3/7P/5P2/PPPP1KPR/RNBQ1BN1,153
rnbq1b1r/p1ppkppp/1P2p2n/8/8/3P4/1PP1PPPP/RNBQKBNR,507
rnb1kb1r/3ppp2/pqp2n1p/1p4p1/4P1PP/BP3N2/P1PPBP2/RN1QK2R,92
rnbqkb1r/ppp1pppp/3p1n2/8/5P2/8/PPPPP1PP/RNBQKBNR,-127
2bqkbnr/r1ppnpp1/1p6/p3p2p/P3PP2/R1PP4/1P1Q2PP/1NB1KBNR,-114
rnbqkbnr/3p3p/2p2pP1/pp2p3/5P2/2N4N/PPPPP1P1/R1BQKB1R,306
rnbqkbnr/pp1ppppp/2p5/8/8/N5PN/PPPPPP1P/R1BQKB1R,28
r2qk1nr/1ppbbppp/p1npp3/8/P3P3/2N2N2/1PPPQPPP/R1B1KB1R,12
rnbqkb1r/ppp2ppp/3pp2n/8/8/N4PPB/PPPPP2P/R1BQK1NR,-15
rn1qkbnr/pp1bpppp/8/2pp4/1P1P4/2N1P3/P1P1QPPP/R1B1KBNR,-57
r1bqk1nr/pppp2pp/3b1N2/n3pp2/8/P6P/1PPPPPP1/RNBQKB1R,-570
rnbqkb1r/p1pp1p1p/6p1/1p2p1n1/1P6/P6P/2PPPPPN/RNBQKB1R,-86
r1bqkbnr/pp1ppp2/2p3p1/7p/1P6/N6N/P1PPKPPP/R1BQ1BR1,178
rnbqkb1r/3ppppp/pp3n2/2pP4/8/N7/PPP1PPPP/R1BQKBNR,-76
rnbqk1r1/pp1p1p2/2pbpn2/6pp/2PPP3/P1N5/1P1K1PPP/R1BQ1BNR,48
rn1qkbnr/2p1p3/p2p1p1p/p4bp1/4P3/P1P2Q2/1P1P2PP/RNB1K1NR,-460
1rbqkb1r/ppppp2p/5np1/1B3p2/2nPP2P/4BNP1/PPP1KP2/RN1Q3R,-335
rnbqkbnr/pppppp2/8/6pp/2P5/5N2/PPQPPPPP/RNB1KB1R,-22
r2qkbnr/p1pp2pp/np6/4pp1P/4bP1R/P7/1PPP2P1/RNBQKBN1,-737
r2qkbnr/2p1ppp1/1p5p/pP1p2B1/n7/1R1P1P1b/P1PNP1PP/3QKBNR,30
r1bqkbnr/ppp3pp/n2pp3/8/4pPPP/8/PPPPP3/RNBQKB1R,-501
rnbqkbnr/p2p2pp/1p6/2p1pp2/7P/1P3N1R/P1PPPPP1/RNBQKB2,131
rn2kb1r/1bqpp1pp/1p6/p1p2Q2/1PP5/4PNP1/P3PP1P/RNB1KBR1,457
rn1qkb1r/pb1pp3/5Bpn/1p5p/1p5P/P1N1PP2/2PP2P1/R2QKBNR,340
rn1qkbnr/ppp1pppp/3p4/8/3P3P/2N5/PPP1bPP1/R1BQKBNR,578
rnbk1bnr/p1p3pp/5p2/3qp2Q/1p4P1/2NB1N1P/PPPP1P2/R1B1K2R,695
2rqkbnr/p1p1pppp/1p1p3B/2nb4/8/N4P2/PPP1P1PP/R2QKBNR,-207
r2qkb1r/pppb2p1/n2ppp1n/7p/1P1PP3/2NB1Q2/P1P2PPP/R4KNR,-535
r1bq1knr/p1ppppbp/1p4p1/8/1n1P1P2/2N3PP/PBP1P3/R1Q1KBNR,-13
1nbqkbnr/r2ppp1p/p1p5/1p4p1/6P1/N1P2P1P/PP1PP3/R1BQKBNR,136
rnbqkbnr/1p1p2p1/p1p2p2/7p/2PPp1P1/P4P1N/1P2P2P/RNBQKB1R,146
rnb1kbnr/pppp2pp/8/4pp2/P1P3q1/6P1/1PQPPP1P/RNB1KBNR,86
r1bqkbnr/p2pp1pp/np3p2/2p5/6P1/1PNP1N2/P1P1PP1P/R1BQKB1R,-4
rnbqkb1r/pp2p2p/2pp1n1B/3P2p1/5p2/N4N1P/PPP1PPP1/R2QKB1R,-594
rnbq1br1/1p2nkpp/8/2pppp2/1P1NP1P1/7P/P1PP1P1R/RNBQKB2,7
r1bqkbnr/1ppp2pp/n3pp2/p7/P3P2P/2PP4/1P3PP1/RNBQKBNR,55
r1bqkbnr/npp5/4p2p/p4pp1/3pPQP1/1PPP3P/P4P1N/RNB1KB1R,-691
rn1qkbnr/ppp1p1pp/5p2/8/2N3b1/4p1PN/PPPP1P1P/R1BQKB1R,489
rnbqkbnr/ppppp2p/6p1/5p2/2P5/1Q3NP1/PP1PPP1P/RNB1KB1R,53
rnbqk1nr/p1p1ppbp/1p1p4/6p1/2PP4/3Q4/PP2PPPP/RNB1KBNR,190
rn1q1bnr/1bpkp1p1/1p1p3p/p4p2/1BP5/N2P4/PP2PPPP/R1Q1KBNR,14
1n1qkb1r/1bppp1pp/4N2n/1p3p2/1p2PP2/r2B4/P1PP2PP/R1BQK1NR,-216
rnb1kbnr/1ppqppp1/p2p3Q/7p/6P1/2P4B/PP1PPP1P/RNB1K1NR,-770
rnbqkbnr/1p1ppp1p/6p1/p1p3N1/P3P2P/8/1PPP1PP1/RNBQKB1R,97
r1bqk1nB/2ppppb1/8/1p4pp/pn6/NP3NPP/P1PPPPB1/R2QK2R,632
rnb1kbnr/3ppppp/pq6/2p5/8/6P1/PPPPPP1P/R1BQKBNR,-378
2b1kbr1/pp1ppp2/2N3pp/q6n/1P6/P7/2PPPPPP/RNBQKB1R,887
rnbqkb2/pp1p1p1p/8/4p2p/3P4/P1P2P2/2P1P1KP/RN2QBNR,426
r1bqkb1r/ppp2pB1/n7/3pp2p/2PP2n1/N6N/PP2PP1P/R2QKB1R,-611
rnbqkbnr/p1p2ppp/1p2p3/3p4/1P2P2P/8/P1PP1PP1/RNBQKBNR,13
rnb1kbnr/pppp1pp1/7p/4p3/1P4Pq/5P2/P1PPP2P/RNBQKBNR,-10000
rnbq2nr/1ppkb3/p2p1p2/6pp/P1BpP2P/N5B1/1PP2PP1/R2QK1NR,154
rnbqkb1r/1ppppp1p/8/pB6/4Ppn1/PPP4N/3P2PP/RNBQK2R,-189
rnb1kbnr/ppppq3/4pp1p/5P2/7p/2P3PN/PP1PP3/RNBQKB1R,72
r1bqkbn1/pppppQpr/8/2n3Np/4PP1P/2P5/PP1PB1P1/RNBK3R,10000
r1bqk2r/p1pp1ppp/n2b4/1p1n4/QP2p2P/P1P3PN/3PPP2/RNB1KB1R,142
r1bqkb1r/3ppp2/p1n3pp/1pp1Q3/1P3nP1/4P3/P1PP1P1P/RNB1KBNR,254
rnbqkb1r/1pppnppp/8/p3p3/4P3/5P2/PPPP1KPP/RNBQ1BNR,-89
rnb1k1nr/1ppp4/p5pp/2b1P1qP/5p2/2N2NPR/PPP1PP2/R1BQKB2,496
r1bqkbnr/pppppppp/n7/8/1PP4P/8/P2PPPP1/RNBQKBNR,68
r1b1kbnr/pp2p1pp/2pp1p2/2nP4/q3P1PP/8/1PPB1P1R/RN1QKBN1,-457
r1bqkbnr/ppppp2p/n7/5pp1/5P2/N1P5/PP1PP1PP/R1BQKBNR,196
rnb1kbnr/pp1ppppp/2p5/P7/Rq6/5N2/1PPPPPPP/1NBQKB1R,-416
rnbqk1nr/p2p1pp1/1pp1p3/2b4p/P1P5/3P4/1P1NPPPP/R1BQKBNR,31
2bqkbnr/rpp1pp2/n6p/p2p2p1/3PPP2/6P1/PPP1N1BP/RNBQ1K1R,225
rnbqk1nr/2ppp2p/7b/1p3pp1/4PP1P/1p6/PPPP2P1/RNBQK1NR,-266
rn1qkbnr/p1pp4/bp6/4p1pp/4Q1p1/P1P4N/1P1PPP1P/RNB1KB1R,312
r1bqk2r/pppp2pp/4pb2/3nnpB1/P2PP3/2N2P2/1PP1Q1PP/R3KBNR,475
rnbqkbnr/pp1pp1pp/2p5/5p2/2PP4/4PP2/PP4PP/RNBQKBNR,55
r1bqk2r/ppppppbp/2n4n/8/2PP2p1/PP2P1P1/2Q2P1P/RNB1KBNR,7
rn2kb1r/1Qpqpp1p/p2p4/6p1/2p2Pn1/3PB2P/PP2P1P1/RN2KBNR,169
rnbq1b1r/ppppp1pp/4kn2/B4p2/N2P4/8/PPP1PPPP/R2QKBNR,104
rnb3nr/pp1pk1p1/1qp4p/1Pb1pp2/4P1P1/N4B2/P1PP1P1P/R1BQ1KNR,158
rn1qkb1r/p1pppppp/7n/1p6/1P6/N3Pb1P/P1PPQP2/R1B1KBNR,499
r2qkb1r/pbp1pp1p/n6n/1p1p1P2/1P1P4/N6N/P1PBP2P/1R1QKB1R,-92
rnbqkb1r/pppppp1p/5n2/6p1/3P4/6PB/PPP1PP1P/RNBQK1NR,53
rnbqkb1r/pppppp1p/5n2/6p1/2P5/5P2/PPQPP1PP/RNB1KBNR,-24
r1bqkb1r/1pp1p3/n7/pN1p1ppp/PnP1P3/8/1PQP1PPP/1RB1KBNR,-745
r1bqkbnr/pp1pppp1/n1p4p/8/2P1P3/3B4/PP1P1PPP/RNBQK1NR,76
r1bqkbnr/1p1pp1p1/n4p2/p1p5/2PP1P1p/N5PN/PP2PK1P/R1BQ1B1R,191
r2qkbnr/p1p1p3/2Ppb3/1B3ppp/4P3/B1P3PP/P2P1P2/RN1QK1NR,349
rnbqkb1r/1pppp1pp/p7/5p2/P6P/5N2/RPPnPPP1/1NBQKB1R,403
rnbqkb1r/ppppp1p1/5n1p/5p2/1P6/2N2P1P/P1PPP1P1/R1BQKBNR,-237
rnbqkbnr/1p1pppp1/7p/p1p5/3P3P/7N/PPP1PPP1/RNBQKB1R,-108
rnbqkb1r/3pp2p/p1p2p2/1p4pn/1PP2P1P/3P4/PB2P1P1/RN1QKBNR,-187
rnbqkbnr/1p1ppp1p/p1p3p1/8/6P1/2N2N2/PPPPPP1P/R1BQKB1R,23
rn1qkbnr/pppbp1pp/5p2/3p4/8/5N1P/PPPPPPP1/RNBQKBR1,4
1nbqkbr1/1ppp1pp1/r6B/p2np2p/7P/2NP4/PPPNPPP1/R2QKB1R,-574
1nbqkb1r/1pppp3/1r3p1n/p6p/6p1/P1NPP1PP/1PP2P2/1RBQKBNR,236
rnb1k1nr/1ppp2pp/5q2/p3pp2/1b1P4/N7/PPP1PPPP/R1BK1BNR,-629
rn2k1nr/p1pN1ppp/8/1p1p1P1b/1b5R/P7/1PPPP3/RNBQKB2,592
rn2kbnr/pb1pp3/1q4pp/2pP1p2/p1P5/N1K1B3/PP2PPPP/3R1BNR,-914
rnbqkbnr/p1ppp1pp/8/5p2/p2P2PP/2P5/1P2PP2/RNBQKBNR,289
rnbqk2r/ppp1bppp/4pn2/3p4/2PPN3/5N2/PP2PPPP/R1BQKB1R,44
rnbqkb1r/p1p1pp2/1p1p1np1/7p/P2N4/3P4/1PP1PPPP/R1BQKBNR,-47
rnbqk2r/ppppbp1p/4pnp1/8/2P2P2/3P4/P2NP1PP/R1BQKBNR,-185
rnbqkbnr/ppp1pp1p/8/6pP/3p4/8/PPPPPPPR/RNBQKBN1,-150
r1bqkbnr/p2pp3/npp3p1/4Pp1p/PP6/B1N2Q2/2PP1PPP/1R2KBNR,290
rnb1k2r/pp1p1pp1/2p3Q1/q2np3/1b5B/1PPP1P2/P3P1PP/RN2KBNR,-389
r1bqkbr1/pp1pp2p/n1p2p2/1N4p1/4Pn2/1P1P1N2/PBP2KPP/R2Q1B1R,-349
rnbqkbnr/1pp1p1pp/p4p2/3p4/8/1P2PQ2/P1PP1PPP/RNB1KBNR,-3
rnbqkb1r/3p1pp1/pp2pn1p/2p5/7P/NP3PP1/P1PPPK2/1RBQ1BNR,-207
rn1qnb1r/1bpkpp1p/pp6/3p2p1/P1PPN3/3Q4/RP2PPPP/2B1KBNR,218
r1bqkbnr/1pppp1p1/5p1B/p2n3p/2PP4/PP3PP1/4P2P/RN1QKBNR,351
rnb2bnr/pp2pk2/2pq3p/3p1pp1/P2P2PP/R1N5/1PP1PP2/2BQKBNR,246
rnb1kbnr/pp2pppp/2pp1q2/8/3PP1P1/2P1BP2/PP1K3P/RN1Q1BNR,122
rnbqkbnr/4p1pp/1ppp1p2/p1P5/Q3P3/N7/PP1P1PPP/R1B1KBNR,-157
r1Bq1k1r/ppp2p2/n2b1n2/4p1pp/2P2P2/N3P2P/PP1P2P1/1RBQK1NR,330
r1bqkbnr/ppn1pppp/2p5/8/1P1p2Q1/4PN1P/P1PP1PP1/RNB1KB1R,135
r1bq1bnr/1ppp1k2/n3p3/p4ppp/P2NP3/1P5P/1BPP1PP1/R2QKBNR,348
rnbq1bnr/pppp2pp/4k3/1P2pp1Q/8/N3P3/P1PP1PPP/R1B1KBNR,38
rnbqkb1r/p1ppn1p1/4p2p/2pQ1p2/8/P6N/1P1PPPPP/RNB1KB1R,175
r1bqkbr1/p1p1pp1p/np1p1np1/7Q/2P2P2/3PP3/PP4PP/RNB1KBNR,-29
rnbqk1n1/2ppb3/p3p2r/5ppP/1pB1P3/2P4N/PP1P1P1P/RNBQK1R1,318
r2qkbnr/pp2p1pb/n2p1p1p/1p3P2/3P4/4Q3/PPP1P1PP/1RB1KBNR,-328
r1b1k1nr/pppp1ppp/n6q/4p3/1bB1P3/N7/PPPP1PPP/R1BQK1NR,99
r1bqkbnr/p1pppppp/n7/1p6/P6P/R7/1PPPPPP1/1NBQKBNR,-21
rnbqkbnr/p1ppp1pp/5p2/1p6/8/N4N2/PPPPPPPP/R1BQKBR1,-29
rnbqkb1r/1p1p1p2/p3p1pn/2p5/QPP4p/N4N2/PB1PPPPP/R3KBR1,329
1rbqkbnr/pppp1ppp/n3p3/8/P7/1PP4P/3PPPP1/RNBQKBNR,0
rnbqkb1r/p2pppp1/8/1pp4n/2P5/1P3P2/P2PP2P/RNBQKBNR,-217
rnbqkbr1/1ppppp2/p4npp/8/2B1P3/6PP/PPPP1P2/RNBQK1NR,-106
rnbqk1r1/p1ppbppp/1p2p2n/6N1/4P2P/2N5/PPPP1PP1/R1BQKB1R,236
rnb1kbnr/p1pp1ppp/8/1p2p3/1P2q3/B6P/P1PPPPPR/RNQ1KBN1,-75
rnb1kbnr/pp1pp1pp/8/q4p2/1pP2QP1/B7/P2PPP1P/RN2KBNR,-382
rnbqkbnr/pp1p1ppp/2p1p3/8/P4P2/3P4/1PP1P1PP/RNBQKBNR,22
r1b1k1nr/p1ppqp1p/n7/bp2pPp1/6P1/3PP1KN/PPP1Q2P/RNB2B1R,-183
r1bqkb2/pppppp1r/2n4p/3n4/1PPP4/P3P2P/5Pp1/RNBQKB1R,-346
r1b1kbnr/p1qppppp/n1p5/1p6/2P1N3/3P3P/PP2PPP1/R1BQKBNR,-53
